id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,rank
0,5,0.05,1000000,1.0,756680,1,840,458984,23,542196,3577295
7,0,0.05,10000,0.5,617743,1,432,13317,23,4547,11631
3,5,0.1,1000000,0.25,638738,0,840,16343,23,1,855923
8,6,0.01,10000,0.25,1709238,1,5328,1142414,23,12,1142065
0,7,0.01,10000,0.75,2151266,1,8376,1399236,23,1164,2327872
4,4,0.01,1000000,0.25,2910564,0,10752,1895217,23,2,1162873
3,4,0.01,1000000,0.0,2940643,2,10752,1895217,23,1,712605
9,0,0.1,100000,0.75,625726,1,984,122827,23,83138,232327
9,4,0.1,100000,0.0,631697,1,648,46973,23,1,396192
6,4,0.05,10000,0.75,756290,1,984,523495,23,15,2778730
5,7,0.05,100000,1.0,849520,1,1752,865530,23,29300,3358873
5,0,0.2,100000,0.0,622991,1,456,122135,23,26575,112228
7,6,0.05,1000000,0.25,692487,0,504,213470,23,12,1027876
2,6,0.1,1000000,0.75,638369,0,240,19941,23,2210,3040225
6,5,0.1,100000,0.0,633474,0,240,16402,23,1,855922
8,3,0.1,10000,1.0,1268050,1,2112,2861767,23,17,3577295
6,5,0.05,100000,1.0,740591,1,840,451585,23,99513,3577232
6,0,0.1,100000,0.5,628397,1,984,122827,23,43137,146757
8,0,0.2,1000000,0.25,652879,0,168,1224979,23,304094,1005800
3,5,0.2,100000,0.25,628014,1,288,277,23,1,1072953
2,0,0.1,10000,0.5,620850,1,240,13290,23,4115,11260
2,0,0.05,100000,0.0,624656,0,2064,125529,23,7131,27050
6,4,0.05,100000,0.0,751945,1,984,521997,23,1,569746
1,3,0.05,1000000,0.0,1982544,1,4200,3219150,23,6,3395752
4,7,0.1,100000,1.0,709811,1,768,499182,23,99999,3421100
7,0,0.01,1000000,0.5,1021052,1,2472,1318592,23,477671,1171769
8,4,0.05,1000000,0.0,757775,1,960,520169,23,1,569741
1,7,0.1,100000,0.5,728074,1,768,499182,23,126,2016445
0,6,0.1,10000,0.5,639490,1,216,20351,23,485,2101131
9,3,0.1,100000,0.0,1266688,1,2112,2861767,23,6,3216888
3,3,0.1,1000000,0.5,1270159,1,2112,2861767,23,6,3216888
0,4,0.05,10000,0.25,757843,0,984,523495,23,2,1020025
1,6,0.2,1000000,0.75,627773,1,168,33,21,674,2437296
9,7,0.05,10000,0.75,857228,1,1848,880485,23,1184,2453694
1,0,0.2,1000000,0.25,653677,1,168,1224979,23,304094,1005800
5,0,0.1,1000000,1.0,663227,1,264,1230864,23,979877,2316668
3,5,0.05,100000,0.0,743160,1,840,451585,23,0,406156
2,6,0.2,10000,1.0,628104,1,168,56,22,10000,3390659
7,3,0.1,10000,1.0,1268704,1,2112,2861767,23,17,3577295
8,3,0.05,10000,0.25,1987603,1,4200,3219150,23,6,3395752
1,5,0.05,100000,1.0,740627,1,840,451585,23,99513,3577232
3,7,0.1,10000,0.5,723523,1,816,572654,23,36,1614536
1,0,0.05,1000000,0.25,698187,1,408,1241820,23,226500,613375
1,6,0.2,1000000,0.0,632491,1,168,33,21,12,1463483
4,5,0.05,10000,0.25,742867,1,840,451213,23,1,941468
0,0,0.01,1000000,0.0,1029558,1,2472,1318592,23,15670,65491
3,0,0.1,1000000,0.5,676556,2,264,1230864,23,478216,1304823
6,6,0.05,100000,0.0,693588,1,480,234314,23,0,373852
0,0,0.2,100000,1.0,621735,1,456,122135,23,96240,259904
0,3,0.1,1000000,0.75,1266045,1,2112,2861767,23,6,3216888
5,4,0.2,10000,0.25,621215,1,144,58,22,3,1677330
8,5,0.01,100000,0.75,2841782,2,10200,1836870,23,16,2712332
1,6,0.2,1000000,1.0,628471,0,168,33,21,999896,3551579
5,4,0.2,100000,1.0,621430,1,144,52,22,99738,3577211
1,0,0.1,1000000,0.75,667644,1,264,1230864,23,775352,2050374
1,0,0.05,10000,0.0,616261,0,432,13317,23,547,2147
5,3,0.05,1000000,0.25,1986330,1,4200,3219150,23,6,3395752
2,4,0.1,10000,0.0,639907,0,600,47274,23,1,396349
1,6,0.1,10000,0.25,635918,1,216,20351,23,6,857685
5,3,0.01,100000,0.5,7070939,1,19272,3504348,23,6,3538840
9,3,0.2,1000000,1.0,896411,1,1080,2152038,23,17,3577295
9,6,0.01,100000,1.0,1658491,1,4992,1118675,23,99995,3522177
3,5,0.01,10000,0.5,2856507,1,9840,1836189,23,5,1832172
